
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,220 K
Secure System                   88 Services                   0     24,152 K
Registry                       156 Services                   0     42,772 K
smss.exe                       540 Services                   0        972 K
csrss.exe                      740 Services                   0      4,108 K
wininit.exe                    832 Services                   0      5,536 K
csrss.exe                      852 Console                    1      4,964 K
services.exe                   904 Services                   0      9,208 K
LsaIso.exe                     928 Services                   0      3,392 K
lsass.exe                      936 Services                   0     20,396 K
winlogon.exe                  1004 Console                    1     10,504 K
svchost.exe                    744 Services                   0     28,440 K
fontdrvhost.exe                672 Services                   0      3,548 K
fontdrvhost.exe                696 Console                    1      5,076 K
svchost.exe                   1108 Services                   0     15,408 K
svchost.exe                   1152 Services                   0      9,648 K
svchost.exe                   1300 Services                   0      9,400 K
svchost.exe                   1356 Services                   0      6,188 K
svchost.exe                   1456 Services                   0      5,308 K
dwm.exe                       1492 Console                    1     58,280 K
svchost.exe                   1616 Services                   0     14,488 K
svchost.exe                   1664 Services                   0     12,176 K
svchost.exe                   1712 Services                   0     10,356 K
svchost.exe                   1768 Services                   0     17,732 K
svchost.exe                   1796 Services                   0     14,248 K
svchost.exe                   1804 Services                   0     11,448 K
svchost.exe                   1812 Services                   0      5,756 K
WUDFHost.exe                  1872 Services                   0      6,872 K
svchost.exe                   2012 Services                   0      7,768 K
svchost.exe                    856 Services                   0      6,204 K
svchost.exe                   1508 Services                   0      6,660 K
svchost.exe                   2072 Services                   0      7,592 K
svchost.exe                   2152 Services                   0     11,464 K
vmms.exe                      2168 Services                   0     29,424 K
svchost.exe                   2212 Services                   0     10,504 K
svchost.exe                   2260 Services                   0      9,992 K
svchost.exe                   2524 Services                   0      6,680 K
svchost.exe                   2632 Services                   0      7,948 K
NVDisplay.Container.exe       2652 Services                   0     20,736 K
svchost.exe                   2692 Services                   0     11,628 K
svchost.exe                   2700 Services                   0      8,180 K
svchost.exe                   2940 Services                   0      6,836 K
svchost.exe                   2996 Services                   0      5,764 K
svchost.exe                   3004 Services                   0     99,400 K
svchost.exe                   3012 Services                   0      7,376 K
svchost.exe                    900 Services                   0      7,408 K
Memory Compression            2180 Services                   0    572,952 K
svchost.exe                   2856 Services                   0     13,084 K
svchost.exe                   3140 Services                   0     17,844 K
svchost.exe                   3164 Services                   0      9,476 K
svchost.exe                   3168 Services                   0      9,736 K
svchost.exe                   3280 Services                   0     16,020 K
svchost.exe                   3336 Services                   0     13,116 K
svchost.exe                   3492 Services                   0      6,460 K
spoolsv.exe                   3512 Services                   0     12,380 K
svchost.exe                   3564 Services                   0     17,828 K
svchost.exe                   3608 Services                   0      7,360 K
svchost.exe                   3752 Services                   0     14,996 K
svchost.exe                   3760 Services                   0      9,396 K
svchost.exe                   3768 Services                   0      6,152 K
svchost.exe                   3776 Services                   0     24,676 K
svchost.exe                   3784 Services                   0      5,256 K
svchost.exe                   3792 Services                   0      6,024 K
svchost.exe                   3800 Services                   0     19,740 K
WifiAutoInstallSrv.exe        3980 Services                   0      5,064 K
NVDisplay.Container.exe       3988 Console                    1     28,200 K
MsMpEng.exe                   4008 Services                   0    290,072 K
MpDefenderCoreService.exe     4028 Services                   0     17,964 K
svchost.exe                   3208 Services                   0      5,200 K
dasHost.exe                   2752 Services                   0     12,068 K
svchost.exe                   4260 Services                   0      8,372 K
svchost.exe                   4436 Services                   0     10,160 K
svchost.exe                   4812 Services                   0      6,916 K
wslservice.exe                4920 Services                   0     20,928 K
dllhost.exe                   5328 Services                   0     10,372 K
svchost.exe                   5632 Services                   0      8,956 K
svchost.exe                   5692 Services                   0      5,080 K
svchost.exe                   5928 Services                   0      6,504 K
svchost.exe                   6068 Services                   0      8,168 K
vmcompute.exe                 2800 Services                   0     11,260 K
NisSrv.exe                    1632 Services                   0     11,584 K
sihost.exe                    5204 Console                    1     32,628 K
svchost.exe                   3148 Console                    1     34,056 K
svchost.exe                   6152 Console                    1     35,228 K
svchost.exe                   6216 Services                   0     16,068 K
MicrosoftEdgeUpdate.exe       6236 Services                   0      4,480 K
